Disease,Gender,symptoms,Cure
Chlamydia,female,"intermenstrual bleeding,abnormal discharge,pain during urination,abdominal pain",Antibiotics
Chlamydia,female,"intermenstrual bleeding,abdominal pain,pain during urination,abnormal discharge",Antibiotics
Chlamydia,female,"intermenstrual bleeding,pain during urination,abdominal pain,abnormal discharge",Antibiotics
Chlamydia,female,"abnormal discharge,pain during urination,abdominal pain,intermenstrual bleeding",Antibiotics
Chlamydia,female,"abnormal discharge,pain during urination,intermenstrual bleeding,abdominal pain",Antibiotics
Chlamydia,female,"abnormal discharge,intermenstrual bleeding,abdominal pain",Antibiotics
Chlamydia,female,"intermenstrual bleeding,abnormal discharge,abdominal pain,pain during urination",Antibiotics
Chlamydia,female,"abnormal discharge,intermenstrual bleeding,abdominal pain",Antibiotics
Chlamydia,female,"abnormal discharge,pain during urination,intermenstrual bleeding",Antibiotics
Chlamydia,female,"pain during urination,intermenstrual bleeding,abdominal pain",Antibiotics
Chlamydia,female,"abnormal discharge,pain during urination,abdominal pain",Antibiotics
Chlamydia,female,"pain during urination,abnormal discharge,abdominal pain,intermenstrual bleeding",Antibiotics
Chlamydia,female,"pain during urination,abdominal pain,intermenstrual bleeding",Antibiotics
Chlamydia,female,"abdominal pain,intermenstrual bleeding,abnormal discharge",Antibiotics
Chlamydia,female,"pain during urination,abnormal discharge,intermenstrual bleeding,abdominal pain",Antibiotics
Chlamydia,female,"pain during urination,intermenstrual bleeding,abnormal discharge,abdominal pain",Antibiotics
Chlamydia,female,"abdominal pain,abnormal discharge,intermenstrual bleeding",Antibiotics
Chlamydia,female,"abnormal discharge,pain during urination,abdominal pain,intermenstrual bleeding",Antibiotics
Chlamydia,female,"pain during urination,abdominal pain,abnormal discharge",Antibiotics
Chlamydia,female,"pain during urination,abnormal discharge,abdominal pain,intermenstrual bleeding",Antibiotics
Chlamydia,female,"abdominal pain,intermenstrual bleeding,abnormal discharge,pain during urination",Antibiotics
Chlamydia,female,"pain during urination,abnormal discharge,intermenstrual bleeding",Antibiotics
Chlamydia,female,"intermenstrual bleeding,abdominal pain,abnormal discharge,pain during urination",Antibiotics
Chlamydia,female,"abnormal discharge,pain during urination,intermenstrual bleeding,abdominal pain",Antibiotics
Chlamydia,female,"abnormal discharge,pain during urination,intermenstrual bleeding,abdominal pain",Antibiotics
Chlamydia,female,"abnormal discharge,abdominal pain,pain during urination",Antibiotics
Chlamydia,female,"intermenstrual bleeding,abnormal discharge,pain during urination,abdominal pain",Antibiotics
Chlamydia,female,"abdominal pain,abnormal discharge,pain during urination",Antibiotics
Chlamydia,female,"pain during urination,abnormal discharge,abdominal pain",Antibiotics
Chlamydia,female,"intermenstrual bleeding,abnormal discharge,pain during urination,abdominal pain",Antibiotics
Chlamydia,female,"abdominal pain,intermenstrual bleeding,pain during urination",Antibiotics
Chlamydia,female,"pain during urination,intermenstrual bleeding,abdominal pain,abnormal discharge",Antibiotics
Chlamydia,female,"pain during urination,abnormal discharge,intermenstrual bleeding",Antibiotics
Chlamydia,female,"abnormal discharge,intermenstrual bleeding,abdominal pain",Antibiotics
Chlamydia,female,"abnormal discharge,pain during urination,abdominal pain",Antibiotics
Chlamydia,female,"abnormal discharge,pain during urination,abdominal pain",Antibiotics
Chlamydia,female,"abdominal pain,abnormal discharge,intermenstrual bleeding,pain during urination",Antibiotics
Chlamydia,female,"pain during urination,abdominal pain,intermenstrual bleeding",Antibiotics
Chlamydia,female,"abdominal pain,pain during urination,intermenstrual bleeding,abnormal discharge",Antibiotics
Chlamydia,female,"abdominal pain,abnormal discharge,intermenstrual bleeding",Antibiotics
Chlamydia,female,"abdominal pain,intermenstrual bleeding,abnormal discharge",Antibiotics
Chlamydia,female,"intermenstrual bleeding,abdominal pain,abnormal discharge",Antibiotics
Chlamydia,female,"intermenstrual bleeding,pain during urination,abdominal pain",Antibiotics
Chlamydia,female,"abdominal pain,abnormal discharge,intermenstrual bleeding,pain during urination",Antibiotics
Chlamydia,female,"pain during urination,intermenstrual bleeding,abnormal discharge",Antibiotics
Chlamydia,female,"pain during urination,abnormal discharge,intermenstrual bleeding",Antibiotics
Chlamydia,female,"abdominal pain,pain during urination,abnormal discharge,intermenstrual bleeding",Antibiotics
Chlamydia,female,"abnormal discharge,intermenstrual bleeding,abdominal pain,pain during urination",Antibiotics
Chlamydia,female,"abnormal discharge,intermenstrual bleeding,pain during urination,abdominal pain",Antibiotics
Chlamydia,female,"intermenstrual bleeding,abdominal pain,abnormal discharge,pain during urination",Antibiotics
Chlamydia,female,"abdominal pain,intermenstrual bleeding,abnormal discharge",Antibiotics
Chlamydia,female,"pain during urination,abdominal pain,intermenstrual bleeding",Antibiotics
Chlamydia,female,"abdominal pain,pain during urination,abnormal discharge,intermenstrual bleeding",Antibiotics
Chlamydia,female,"abnormal discharge,intermenstrual bleeding,abdominal pain,pain during urination",Antibiotics
Chlamydia,female,"abnormal discharge,pain during urination,abdominal pain,intermenstrual bleeding",Antibiotics
Chlamydia,female,"intermenstrual bleeding,pain during urination,abnormal discharge",Antibiotics
Chlamydia,female,"pain during urination,intermenstrual bleeding,abdominal pain,abnormal discharge",Antibiotics
Chlamydia,female,"intermenstrual bleeding,abdominal pain,abnormal discharge",Antibiotics
Chlamydia,female,"abdominal pain,abnormal discharge,intermenstrual bleeding",Antibiotics
Chlamydia,female,"abdominal pain,abnormal discharge,pain during urination",Antibiotics
Chlamydia,female,"abdominal pain,pain during urination,abnormal discharge,intermenstrual bleeding",Antibiotics
Chlamydia,female,"abnormal discharge,intermenstrual bleeding,abdominal pain",Antibiotics
Chlamydia,female,"abdominal pain,abnormal discharge,pain during urination,intermenstrual bleeding",Antibiotics
Chlamydia,female,"abnormal discharge,abdominal pain,pain during urination",Antibiotics
Chlamydia,female,"abdominal pain,abnormal discharge,intermenstrual bleeding,pain during urination",Antibiotics
Chlamydia,female,"pain during urination,abnormal discharge,abdominal pain,intermenstrual bleeding",Antibiotics
Chlamydia,female,"intermenstrual bleeding,pain during urination,abdominal pain,abnormal discharge",Antibiotics
Chlamydia,female,"pain during urination,abdominal pain,abnormal discharge",Antibiotics
Chlamydia,female,"intermenstrual bleeding,pain during urination,abdominal pain",Antibiotics
Chlamydia,female,"pain during urination,abnormal discharge,intermenstrual bleeding,abdominal pain",Antibiotics
Chlamydia,female,"abdominal pain,abnormal discharge,intermenstrual bleeding,pain during urination",Antibiotics
Chlamydia,female,"pain during urination,intermenstrual bleeding,abdominal pain",Antibiotics
Chlamydia,female,"abnormal discharge,abdominal pain,intermenstrual bleeding",Antibiotics
Chlamydia,female,"pain during urination,abdominal pain,abnormal discharge,intermenstrual bleeding",Antibiotics
Chlamydia,female,"intermenstrual bleeding,pain during urination,abnormal discharge",Antibiotics
Chlamydia,female,"pain during urination,intermenstrual bleeding,abnormal discharge,abdominal pain",Antibiotics
Chlamydia,female,"abnormal discharge,intermenstrual bleeding,pain during urination,abdominal pain",Antibiotics
Cervical Cancer,female,"pain during intercourse,vaginal discharge,pelvic pain,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,pain during intercourse,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pelvic pain,pain during intercourse,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,pain during intercourse,abnormal bleeding,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,pain during intercourse,pelvic pain,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,abnormal bleeding,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pain during intercourse,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,abnormal bleeding,vaginal discharge,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,pelvic pain,vaginal discharge,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,vaginal discharge,abnormal bleeding,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,pain during intercourse,pelvic pain,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,pain during intercourse,abnormal bleeding,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,vaginal discharge,pain during intercourse,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,vaginal discharge,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,abnormal bleeding,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,abnormal bleeding,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,vaginal discharge,abnormal bleeding,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,pain during intercourse,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,vaginal discharge,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,abnormal bleeding,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pelvic pain,vaginal discharge,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,abnormal bleeding,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,vaginal discharge,abnormal bleeding,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pelvic pain,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,vaginal discharge,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pelvic pain,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,pain during intercourse,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,abnormal bleeding,pain during intercourse,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pelvic pain,pain during intercourse,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,abnormal bleeding,vaginal discharge,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pelvic pain,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,vaginal discharge,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pain during intercourse,vaginal discharge,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,vaginal discharge,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,abnormal bleeding,vaginal discharge,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pain during intercourse,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,abnormal bleeding,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,pain during intercourse,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,abnormal bleeding,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,abnormal bleeding,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,pain during intercourse,abnormal bleeding,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,abnormal bleeding,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pain during intercourse,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,abnormal bleeding,vaginal discharge,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pelvic pain,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,abnormal bleeding,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,pelvic pain,abnormal bleeding,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,pain during intercourse,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,pelvic pain,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,vaginal discharge,pain during intercourse,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,vaginal discharge,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,pelvic pain,abnormal bleeding,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,abnormal bleeding,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,abnormal bleeding,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,vaginal discharge,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pain during intercourse,vaginal discharge,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,abnormal bleeding,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,vaginal discharge,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,vaginal discharge,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,abnormal bleeding,vaginal discharge,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,vaginal discharge,pelvic pain,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,abnormal bleeding,pain during intercourse,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,abnormal bleeding,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pelvic pain,vaginal discharge,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,vaginal discharge,pelvic pain,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,pelvic pain,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,abnormal bleeding,pain during intercourse,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,vaginal discharge,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,abnormal bleeding,pain during intercourse,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,abnormal bleeding,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,vaginal discharge,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,pelvic pain,vaginal discharge,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,pelvic pain,abnormal bleeding,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,pelvic pain,vaginal discharge,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,vaginal discharge,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pain during intercourse,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,vaginal discharge,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,pelvic pain,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,pelvic pain,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,vaginal discharge,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,pelvic pain,vaginal discharge,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,pelvic pain,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,abnormal bleeding,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,abnormal bleeding,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,pelvic pain,pain during intercourse,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pain during intercourse,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,vaginal discharge,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,vaginal discharge,pain during intercourse,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pelvic pain,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,pelvic pain,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,vaginal discharge,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pelvic pain,vaginal discharge,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,pelvic pain,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pelvic pain,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"vaginal discharge,pain during intercourse,pelvic pain,abnormal bleeding","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,abnormal bleeding,pain during intercourse","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,abnormal bleeding,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pain during intercourse,vaginal discharge,abnormal bleeding,pelvic pain","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"abnormal bleeding,pain during intercourse,pelvic pain,vaginal discharge","Surgery, radiation, chemotherapy"
Cervical Cancer,female,"pelvic pain,pain during intercourse,vaginal discharge","Surgery, radiation, chemotherapy"
Croup,male,"fever,stridor,barking cough,runny nose","Corticosteroids, humidified air"
Croup,male,"stridor,fever,runny nose,barking cough","Corticosteroids, humidified air"
Croup,male,"fever,runny nose,barking cough,stridor","Corticosteroids, humidified air"
Croup,male,"barking cough,stridor,runny nose","Corticosteroids, humidified air"
Croup,male,"fever,stridor,barking cough,runny nose","Corticosteroids, humidified air"
Croup,male,"barking cough,fever,stridor,runny nose","Corticosteroids, humidified air"
Croup,male,"barking cough,fever,stridor","Corticosteroids, humidified air"
Croup,male,"stridor,fever,runny nose,barking cough","Corticosteroids, humidified air"
Croup,male,"barking cough,stridor,runny nose","Corticosteroids, humidified air"
Croup,male,"stridor,fever,runny nose,barking cough","Corticosteroids, humidified air"
Croup,male,"barking cough,fever,runny nose,stridor","Corticosteroids, humidified air"
Croup,male,"barking cough,stridor,fever,runny nose","Corticosteroids, humidified air"
Croup,male,"stridor,runny nose,barking cough,fever","Corticosteroids, humidified air"
Croup,male,"fever,runny nose,stridor","Corticosteroids, humidified air"
Croup,male,"barking cough,fever,stridor","Corticosteroids, humidified air"
Croup,male,"fever,stridor,barking cough,runny nose","Corticosteroids, humidified air"
Croup,male,"runny nose,stridor,barking cough","Corticosteroids, humidified air"
Croup,male,"barking cough,fever,runny nose,stridor","Corticosteroids, humidified air"
Croup,male,"runny nose,barking cough,stridor","Corticosteroids, humidified air"
Croup,male,"barking cough,stridor,fever,runny nose","Corticosteroids, humidified air"
Croup,male,"stridor,runny nose,barking cough","Corticosteroids, humidified air"
Croup,male,"fever,barking cough,stridor","Corticosteroids, humidified air"
Croup,male,"stridor,runny nose,barking cough","Corticosteroids, humidified air"
Croup,male,"stridor,fever,runny nose","Corticosteroids, humidified air"
Croup,male,"runny nose,barking cough,stridor","Corticosteroids, humidified air"
Croup,male,"barking cough,runny nose,fever,stridor","Corticosteroids, humidified air"
Croup,male,"stridor,fever,runny nose","Corticosteroids, humidified air"
Croup,male,"fever,stridor,runny nose","Corticosteroids, humidified air"
Croup,male,"fever,stridor,runny nose,barking cough","Corticosteroids, humidified air"
Croup,male,"fever,stridor,runny nose,barking cough","Corticosteroids, humidified air"
Croup,male,"runny nose,fever,stridor","Corticosteroids, humidified air"
Croup,male,"stridor,fever,runny nose,barking cough","Corticosteroids, humidified air"
Croup,male,"barking cough,stridor,fever,runny nose","Corticosteroids, humidified air"
Croup,male,"barking cough,runny nose,stridor","Corticosteroids, humidified air"
Croup,male,"barking cough,fever,stridor,runny nose","Corticosteroids, humidified air"
Croup,male,"stridor,fever,barking cough","Corticosteroids, humidified air"
Croup,male,"runny nose,barking cough,fever","Corticosteroids, humidified air"
Croup,male,"stridor,barking cough,fever,runny nose","Corticosteroids, humidified air"
Croup,male,"fever,barking cough,runny nose","Corticosteroids, humidified air"
Croup,male,"fever,stridor,barking cough,runny nose","Corticosteroids, humidified air"
Croup,male,"fever,barking cough,runny nose,stridor","Corticosteroids, humidified air"
Croup,male,"barking cough,runny nose,fever,stridor","Corticosteroids, humidified air"
Croup,male,"barking cough,runny nose,stridor,fever","Corticosteroids, humidified air"
Croup,male,"stridor,runny nose,barking cough,fever","Corticosteroids, humidified air"
Croup,male,"stridor,runny nose,barking cough","Corticosteroids, humidified air"
Croup,male,"barking cough,fever,runny nose,stridor","Corticosteroids, humidified air"
Croup,male,"runny nose,barking cough,fever,stridor","Corticosteroids, humidified air"
Croup,male,"fever,stridor,barking cough","Corticosteroids, humidified air"
Croup,male,"fever,stridor,runny nose,barking cough","Corticosteroids, humidified air"
Croup,male,"barking cough,runny nose,stridor","Corticosteroids, humidified air"
Croup,female,"stridor,runny nose,barking cough","Corticosteroids, humidified air"
Croup,female,"stridor,fever,barking cough","Corticosteroids, humidified air"
Croup,female,"runny nose,stridor,fever","Corticosteroids, humidified air"
Croup,female,"stridor,fever,barking cough","Corticosteroids, humidified air"
Croup,female,"stridor,runny nose,barking cough","Corticosteroids, humidified air"
Croup,female,"stridor,fever,barking cough","Corticosteroids, humidified air"
Croup,female,"fever,barking cough,stridor","Corticosteroids, humidified air"
Croup,female,"runny nose,fever,barking cough","Corticosteroids, humidified air"
Croup,female,"barking cough,fever,stridor,runny nose","Corticosteroids, humidified air"
Croup,female,"stridor,barking cough,fever","Corticosteroids, humidified air"
Croup,female,"barking cough,fever,stridor","Corticosteroids, humidified air"
Croup,female,"runny nose,barking cough,fever,stridor","Corticosteroids, humidified air"
Croup,female,"barking cough,runny nose,stridor","Corticosteroids, humidified air"
Croup,female,"barking cough,stridor,fever","Corticosteroids, humidified air"
Croup,female,"barking cough,runny nose,fever","Corticosteroids, humidified air"
Croup,female,"runny nose,fever,stridor","Corticosteroids, humidified air"
Croup,female,"fever,stridor,runny nose,barking cough","Corticosteroids, humidified air"
Croup,female,"fever,stridor,runny nose","Corticosteroids, humidified air"
Croup,female,"stridor,fever,runny nose","Corticosteroids, humidified air"
Croup,female,"runny nose,barking cough,stridor,fever","Corticosteroids, humidified air"
Croup,female,"fever,barking cough,runny nose","Corticosteroids, humidified air"
Croup,female,"stridor,barking cough,fever,runny nose","Corticosteroids, humidified air"
Croup,female,"runny nose,barking cough,stridor,fever","Corticosteroids, humidified air"
Croup,female,"fever,barking cough,runny nose,stridor","Corticosteroids, humidified air"
Croup,female,"fever,stridor,barking cough","Corticosteroids, humidified air"
Croup,female,"fever,runny nose,stridor","Corticosteroids, humidified air"
Croup,female,"fever,stridor,runny nose","Corticosteroids, humidified air"
Croup,female,"runny nose,barking cough,stridor,fever","Corticosteroids, humidified air"
Croup,female,"fever,runny nose,stridor,barking cough","Corticosteroids, humidified air"
Croup,female,"fever,runny nose,barking cough","Corticosteroids, humidified air"
Croup,female,"barking cough,fever,runny nose","Corticosteroids, humidified air"
Croup,female,"stridor,barking cough,runny nose,fever","Corticosteroids, humidified air"
Croup,female,"runny nose,barking cough,stridor,fever","Corticosteroids, humidified air"
Croup,female,"fever,stridor,runny nose,barking cough","Corticosteroids, humidified air"
Croup,female,"fever,barking cough,runny nose,stridor","Corticosteroids, humidified air"
Croup,female,"fever,stridor,barking cough,runny nose","Corticosteroids, humidified air"
Croup,female,"fever,barking cough,runny nose","Corticosteroids, humidified air"
Croup,female,"fever,barking cough,stridor,runny nose","Corticosteroids, humidified air"
Croup,female,"fever,stridor,barking cough","Corticosteroids, humidified air"
Croup,female,"fever,stridor,barking cough,runny nose","Corticosteroids, humidified air"
Croup,female,"stridor,fever,runny nose,barking cough","Corticosteroids, humidified air"
Croup,female,"barking cough,fever,runny nose","Corticosteroids, humidified air"
Croup,female,"fever,runny nose,stridor,barking cough","Corticosteroids, humidified air"
Croup,female,"runny nose,barking cough,stridor","Corticosteroids, humidified air"
Croup,female,"runny nose,barking cough,stridor,fever","Corticosteroids, humidified air"
Croup,female,"runny nose,barking cough,stridor","Corticosteroids, humidified air"
Croup,female,"barking cough,runny nose,stridor,fever","Corticosteroids, humidified air"
Croup,female,"fever,runny nose,barking cough","Corticosteroids, humidified air"
Croup,female,"runny nose,stridor,barking cough,fever","Corticosteroids, humidified air"
Croup,female,"fever,stridor,barking cough","Corticosteroids, humidified air"
Dengue Fever,male,"high fever,severe headache,joint pain,rash","Supportive care, hydration"
Dengue Fever,male,"high fever,rash,severe headache","Supportive care, hydration"
Dengue Fever,male,"high fever,joint pain,rash","Supportive care, hydration"
Dengue Fever,male,"severe headache,rash,high fever","Supportive care, hydration"
Dengue Fever,male,"joint pain,high fever,severe headache","Supportive care, hydration"
Dengue Fever,male,"joint pain,high fever,severe headache,rash","Supportive care, hydration"
